deck,front,back,reading,pos,examples,tags
Default,会得,领会。掌握。,えとく,,クレーンの操作をえとくした。掌握了起重机的操作。 | 実践でえとくするしかない。只能在实践中理解领会。,"N1,vocab"
Default,会食,会餐。聚餐。,かいしょく,,高級ホテルでかいしょくする。在高级宾馆聚餐。,"N1,vocab"
Default,会釈,点头打招呼。,えしゃく,,すれ違う時軽くえしゃくする。擦肩而过的时候微微点头示意。 | 会えばえしゃくをかわす程度の仲です。我们的交情只不过是见面点头。,"N1,vocab"
Default,賄う,①供给饭食。,まかなう,,10人の昼食をまかなうだけの食材がない。没有足够十个人午饭的材料。 ②在一定的范围内供应。维持。 | 月18万円で家計費を全部まかなう。每个月用十八万日元来支付全部家用。 | 税収で国の財政をまかなう。用税收维持国家的财政。,"N1,vocab"
Default,混ざる,搀混，搀杂，混杂，夹杂。掺杂。,まざる,,水と油は混ざらない。水和油掺不到一起。 | 米に砂が混ざっている。米里杂着沙子。 | この組織は水と油が混ざったようなものだ。这个组织如同水与油混在一起一样。,"N1,vocab"
Default,混じる,混入，夹杂，交织。,まじる,,彼女はフランス人の血が混じっている。她身上有一部分法国人的血。 | 自信と不安が混じった気持ちでプレゼンする。怀着自信与不安交织的心情进行发表。 | 尿に血がまじる。尿里混杂着血。,"N1,vocab"
Default,混ぜる,掺和。混。夹杂。搅拌，混合。,まぜる,,米に大麦をまぜる。大米里掺杂大麦。 | 赤と黒の絵の具をまぜる。把红色和黑色的颜料掺在一起。 | マジシャンがカードをまぜる。魔术师洗牌。 | 酒に水をまぜる。往酒里掺水。 | 米に麦を混ぜる。大米搀上大麦。 | 酒に水を混ぜる。酒里对水。插嘴。 | 人の話を混ぜるな。别瞎搀合。,"N1,vocab"
Default,火の気,火。火星。,ひのけ,,ひのけがない。没有烟火。 | 家の中にはまるきりひのけがないはずだった。房子里本来连一个火星都没有。 | ひのけのない部屋は冷えきっている。房间没有一点热气，冷极了。,"N1,vocab"
Default,基づく,根据。按照。依据。,もとづく,,法律に基づいて犯罪者を処罰する。依照法律处罚犯罪分子。 | 旅費規程に基づいて費用を支払う。根据旅费规章支付费用。 | 入手できる資料に基づいて論文を書く。根据能得到的资料写论文。 | 作業工程表に基づいてビルができ上がっていく。根据工期表，大楼渐渐建起来了。 | このドラマは事実に基づいて作られている。这个电视剧是基于事实拍摄的。,"N1,vocab"
Default,稽古,排练。训练。,けいこ,,寒けいこ。冬季训练。 | けいこ始め第一次练习。 | 劇団のけいこ場でせりふのけいこをする。在剧团的排练场练台词。 | よく踊りのけいこをする。经常练习跳舞。 | 師匠にけいこをつけてもらう。跟着师傅自己排练。 | うちの娘にはいろいろけいこ事をやらせた。我让女儿学了不少技艺。,"N1,vocab"
Default,機嫌,情绪。,きげん,,きげんがいい。情绪好。 | きげんを伺う。问候。 | 社長の御きげんを伺う。问候总经理。 | きげんを取る。讨好。哄。 | せっせと課長のきげんを取る。一个劲儿地讨好科长。 | きげんを損なう。得罪。冲犯。 | 先生のきげんを損なう。得罪老师。 | 弟は朝からきげんが悪い。弟弟从早上情绪就不好。 | 頼むからきげんを直してくれよ。求求你，高兴一点儿。 61,"N1,vocab"
Default,積む,①堆积。积累。,つむ,,経験をつむ。积累经验。 | レンガを積んで塀をつくる。用砖堆砌矮墙。 | 巨万の富をつむ。积攒巨额财富。 | 干し草をつむ。堆干草。 | いくら金を積まれても承諾できない。不管把多少钱放在我前面，我也不能答应。 ②装载。 | 建築資材を積んだトラック。装有建筑材料的卡车。,"N1,vocab"
Default,積もる,积累。累积。,つもる,,雪がつもる。积雪。 | 道には雪が1メートルほど積もっていた。路上积着一米左右的雪。 | 君とはつもる話がある。有好多话攒着想和你说。 | 彼にはつもる恨みがある。对他有积怨。 | 塵も積もれば山となる。积少成多。,"N1,vocab"
Default,及ぶ,涉及。达到。,およぶ,,長さ100におよぶ。长达一百米。 | 講演は2時間に及んだ。讲话达两小时之久。 | 被害が多方面におよぶ。损害涉及很多方面。 | 仕事に影響がおよぶ。影响工作。 | 費用は1万円に及んだ。费用高达一万日元。 | 会期は5日間に及んだ。会期长达五天。 | 力のおよぶ限り。力所能及的。 | およぶ限りの手段を尽くす。用尽了所有的方法。,"N1,vocab"
Default,及ぼす,使…受到。,およぼす,,青少年に悪い影響をおよぼす。给青少年带来不良影响。 | 隣家にまで被害をおよぼす。连邻居也受到危害。 | 環境におよぼす影響は計り知れない。对环境的影响不可估量。,"N1,vocab"
Default,及第,合格。及格。考上。,きゅうだい,,きゅうだい点。及格分数。 | 努力は認めるがきゅうだい点には遠いな。我虽然承认你的努力，但是你离及格分还差太远。 | 進級試験にかすかすできゅうだいした。勉勉强强通过了升级考试。 | あれなら外野手としてきゅうだいだ。那样的话，作为棒球的外野手也合格了。,"N1,vocab"
Default,即応,适应。顺应。,そくおう,,顧客ニーズにそくおうする商品を作る。生产适应顾客需求的商品。 | 社会の進展にそくおうする行政サービスを行う。提供顺应社会发展的行政服务。,"N1,vocab"
Default,極まる,①达到极限，极其，极。极端。到了限度。漫无止境。,きわまる,,感きわまって泣く。感极而泣。 | 危険極まる話だ。极其危险的勾当。 | 腐敗はきわまるところを知らぬかに見える。腐败现象显得漫无止境。 | 許してやるとは無礼きわまる言い草だ。什么“原谅你”，这种说法真是无理之至。 | 聴衆は感極まって泣き出した。听众们万感交集，哭了起来。 ②透顶，至极。再也没有超过的。 | 滑稽極まる話。滑稽至极的话。 ③穷尽，尽头，到了终点，不能再前进。 | 道が窮まる。路到头了。 | 進退窮まる。进退维谷。,"N1,vocab"
Default,極める,穷其究竟；达到极限；极为…。,きわめる,,栄華を極める极尽荣华。 | 頂上を極める追根究底。 | 奥義をきわめる。钻研深奥意义。 | 学問の奥義をきわめるなんてできるだろうか。我能悟透学问的奥秘吗？ | 困難をきわめる。极其困难。 | 雪中の行進は困難を極めた。在雪地里的行进遇到了极大的困难。 | 多忙をきわめる。极为繁忙。 | 多忙をきわめる生活に神経がまいった。极为繁忙的生活，使我变得精神衰弱。 | 真理をきわめる。探究真理。 | あいつは君の小説を口を極めてほめていたよ。他可是极力推崇你的小说。,"N1,vocab"
Default,極め付き,有定评的。公认的。附有鉴定书；有证明，可靠。,きわめつき,,,"N1,vocab"
Default,極上,极好。上好。,ごくじょう,,ごくじょう品。极品。 | 牛肉のごくじょう品を贈られた。别人送来了最高级牛肉。 | ごくじょうのワインが手に入った。搞到了极品葡萄酒。,"N1,vocab"
Default,集う,聚会。集会。,つどう,,若人が全国から集う。全国的年轻人聚集到这里。,"N1,vocab"
Default,集まる,①集合。聚集。,あつまる,,人々が彼の周囲に集まった。人们聚集在他的身边。 | 往来には大勢人が集まっていた。马路上聚集了众多人群。 | どこへ集まろうか。在哪儿集合？ | 集まれ！集合！ ②汇集。汇合。 | 集まった金。筹集的资金。 ③集中。 | 非難があつまる。受到周围的指责。,"N1,vocab"
Default,集める,①收集。搜集。,あつめる,,旅費をあつめる。筹集旅费。 | 材料をあつめる。收集材料。搜集素材。 | 切手をあつめる。收集邮票。集邮。 | 寄付金をあつめる。筹集捐款。 | ゴミを集めに来る。来收垃圾。 ②招集。招致。 | 全校の生徒をあつめる。招集全校学生。 ③集。集中。 | 世の注目をあつめる。举世瞩目。 | 世間の耳目をあつめる。引起社会的关注。,"N1,vocab"
Default,忌む,①忌避，禁忌，忌讳。,いむ,,宗教上、肉食を忌む。宗教上忌食肉。 ②厌恶，憎恶。 | 忌むべき風習。必须远离的恶习。,"N1,vocab"
Default,計らう,①处置，处理，考虑，安排。对付。便,はからう,,宜を計らう。做权宜之计。 | 会わずにすむならうまく計らってくれよ。如果能不见面的话，就帮我好好儿安排一下吧。 ②商量。 | 友人と計らって決める。与朋友商量决定。,"N1,vocab"
Default,紀行,游记。,きこう,,あの人はきこう文の名手だ。他是位擅长游记的名家。 | きこう文学。纪行文学。,"N1,vocab"
Default,記す,记下。写下。铭记。,しるす,,氏名をしるす。写下姓名。 | 感激を心にしるす。把感激记在心中。,"N1,vocab"
Default,済ます,①做完。,すます,,仕事をすます。做完工作。 | 勘定をすます。结完账。 | 借金をしないですます。不用借钱，独自完成。 ②将就。应付。 | 昼飯抜きですます。不吃午饭将就过去。 | てっとり早くすます。迅速麻利地弄完。 | 雑誌は立ち読みですます。在货架前阅读就行了。,"N1,vocab"
Default,済む,①完（了），终了，结束。（问题）解决，（事情）了结。,すむ,,婚礼はめでたく済んだ。婚礼圆满结束。 | 無事に済む。平安了事。 | 消毒の済んだコップ。消过毒的杯子。 | 済んだことを悔やむな。事已过去不要总懊悔了。 | 済んだことはしかたがない。过去的事儿就让它过去吧。 | 引っ越しがすむ。搬完家。 | もうすぐすむからちょっと待っていて。快要结束了，请稍候。 ②过得去，对得起。没问题；足够。 | 気がすむ。满意。 | それは謝まれば済むことではない。那不是赔礼道歉就完了的事。 | 支出が少なくて済む。开支不多也可以。 | 兄が学校で使った本があったので，新しいのを買わずに済んだ。因为有哥哥在学校用过的书，所以我不买新书也行了。 | かすり傷ですむ。幸而只擦破皮。 | 入国手続きは済んだ。办好了入境手续。 | 恨み言は気がすむまで吐き出しなさい。把肚子里的怨气都说出来吧。 | 謝まっただけでは済まないぞ。光靠嘴上道歉可解决不了问题。 | 現在でもかなりの人々は税を払わないで済んでいる。现在也有相当多的人不纳税而蒙混过去。 | そのお客さんならお茶菓子などは出さなくても済む。 | 如果是那个客人，不端上茶点也过得去（没问题）。借りずに済むなら借りはしない。不借能过得去的话就不借了。 | 冬服無しで済む。没有冬装也过得去（能对付）。 | 電話一本ですむ。打个电话就够了。 | それだけで済むと思うのか。你以为那样就过得去吗？,"N1,vocab"
Default,寄港,停靠港口。,きこう,,練習船は明日にも横浜にきこうする予定である。训练船只预定明天停靠横滨。,"N1,vocab"
Default,際立つ,突出。显著。明显。,きわだつ,,際立たせる。烘托。突出。 | 際立った活躍。突出的贡献。 | 彼は甲子園で際立った活躍をした。他在甲子园有突出的表现。 | 彼の学力は学年でも際立っている。他的成绩在年级中也是突出的。 | 黒服が肌の白さを際立たせていた。黑衣服衬得皮肤更白了。,"N1,vocab"
Default,際限,边际。止境。,さいげん,,彼の自慢話がさいげんなく続く。他不停地自吹自擂。 | こんな議論を始めるとさいげんがない。这样的争论一开始就没个头。 | これを許したら，あとはさいげんがなくなる。如果纵容了这件事，今后将不可收拾。,"N1,vocab"
Default,加える,①加之。加以。追加。增加。添加。,くわえる,,月給に加えて年金も少しある。月薪再加上少许的养老金。 | 新版には索引を加えてある。新版中附有索引。 | 15に8をくわえる。十五加八。 | 年をくわえる。年龄增长。 | てごころをくわえる。手心を加える。酌情考虑。手下留情。 | 年をひとつ加える。增加一岁。 | 2に3を加えると5だ。二加三是五。 | 15に25を加えると40になる。十五加二十五等于四十。 | 勢力を加える。增大势力。 | 速力を加える。加大速度。 | 酢を少々くわえる。加点儿醋。 ②加以。施加。给予，加以，施加。 | 危害をくわえる。加以危害。 | 圧力を加える。施加压力。 | 治療を加える。给以治疗。 | 打撃を加える。予以打击。 ③包含，包括，让…入伙。 | 杉氏を会員にくわえる。让杉先生加入会员。 | 味方に加える。加入我方。 | 仲間に加える。入伙。 | わたしを加えて一行10人。包括我在内一行共十人。,"N1,vocab"
Default,加わる,参加。加入。参与。,くわわる,,仲間にくわわる。入伙。 | スピードがくわわる。增加速度。 | メンバーにくわわる。加入团体，成为其中一员。 | 彼女は私たちの会話に加わった。她参加了我们的谈话。 | 暑さがくわわる。更热了。,"N1,vocab"
Default,挟まる,夹。塞。,はさまる,,歯にはさまる。塞在牙缝里。 | 歯に食べかすがはさまる。牙缝里塞着食物残渣。 | 写真は2冊の本の間に挟まっていた。照片夹在两本书之间。 | 村は二つの山に挟まっている。村子夹在两座山之间。 | おくばにもののはさまったようないいかたをする。奥歯に物の挟まったような言い方をする。说话吞吞吐吐。,"N1,vocab"
Default,挟む,夹。捏。,はさむ,,パンにハムをはさむ。把火腿夹在面包中间。 | テーブルを挟んで向かい合い交渉を始めた。对坐在桌子两边，开始谈判。 | 手紙は本と本の間に挟まれていた。那封信被夹在书之间了。 | くちをはさむ。口を挟む。插嘴。 | 横から口をはさむな。别从旁插嘴。 | こみみにはさむ。小耳に挟む。听到。 | ちょっと小耳に挟んだんだが…。偶然听到一点…。,"N1,vocab"
Default,家柄,出身。门第。门户。,いえがら,,いえがらを鼻にかける。把门第出身挂在嘴上。 | いえがらが物を言う。重视门第。 | いえがらがよい。出身好。,"N1,vocab"
Default,家来,家臣。随从。喽罗。,けらい,,俺はおまえのけらいじゃないぞ。我可不是你的喽罗。,"N1,vocab"
Default,家内,①妻子。,かない,,家のことは家内に任せてあります家里的事情都交给妻子打理。 ②家里。家庭。家内。全家。 | かない安全を祈願する。祈祷家中平安。 | 6人家内。全家六口人。 | 家内一同元気です。全家都很健康。,"N1,vocab"
Default,家元,师父，宗家。掌门人；世家；传人。,いえもと,,華道のいえもと。花道的宗家。,"N1,vocab"
Default,甲高い,尖，尖锐。,かんだかい,,かんだかい声。尖声。 | 子供たちのかんだかい声がひびく。孩子们发出尖锐的声音。,"N1,vocab"
Default,稼ぎ,①挣钱，赚钱，做工；干活儿；劳动。工作；谋生之道，职业。,かせぎ,,毎日の稼ぎで食べる。现种现吃；干一天活儿，吃一天饭。 | 稼ぎ頭。最能干活儿赚钱的人。 | いい稼ぎがみつかる。找到好工作。 | 近ごろあまりいい稼ぎがない。近来没什么好工资高的工作。 | 稼ぎ口をさがす。找挣钱的活儿。 ②挣钱，工钱，工资，赚头。通过劳动获取收入，也指这种收入。 | 稼ぎのいい仕事。赚头大的事儿活儿。 | 1か月50万円の稼ぎがある。一个月有五十万日元的工资。 | 稼ぎが悪い。工资少；赚钱少；挣得少。,"N1,vocab"
Default,稼ぐ,赚。挣。,かせぐ,,お金をかせぐ。赚钱。 | 時間をかせぐ。争取时间。 | 点数をかせぐ。得分。 | ネットで大金をかせぐ。靠因特网赚大钱。 | 生活費をなんとかかせぐ。勉强挣出生活费。 | 部屋代をかせぐ。挣房租。,"N1,vocab"
Default,間柄,关系。,あいだがら,,君たちはどういうあいだがらなのだ。你们是什么关系？ | 彼とは親しいあいだがらである。我跟他关系亲密。,"N1,vocab"
Default,見地,见解。观点。,けんち,,広いけんちに立つ。从大局出发。 | 大局的けんちから問題解決を図るべきだ。应该设法从大局的观点解决问题。 | このけんちよりすれば君の言うことは正しい。从这个观点来看，你说的对。 | あらゆるけんちから検討する必要がある。有必要从各种角度来探讨。,"N1,vocab"
Default,見積書,报价单，估价单。经费等报价类文件。,みつもりしょ,,見積書の有効期限。报价单的有效期限。,"N1,vocab"
Default,見苦しい,难看。惨。丢人。,みぐるしい,,みぐるしい真似をするな。别做丢人的事。 | あの狼狽ぶりは見苦しかった。那副狼狈相很惨。 | みぐるしい服装をしている。穿着寒碜的衣服。 | みぐるしい振る舞いをする。动作难看。 | みぐるしい負け方をする。输得很惨。,"N1,vocab"
Default,見栄え,好看。外表美。,みばえ,,みばえがする。外表很美观。 | その和服はみばえがする。那件和服很好看。 | なかなかみばえのする男だろう。是外表很帅的男人吧。 | 服装からしてみばえがしない。从服装上来说也不够引人注目。,"N1,vocab"
Default,見殺し,见死不救。坐视不救。,みごろし,,濁流に呑まれる友をみごろしにするしかなかった。只能眼睁睁地看着朋友被浊流吞没。 | おまえら，俺をみごろしにする気か。你们难道对我见死不救吗？。,"N1,vocab"
Default,健やか,健康。健全。,すこやか,,すこやかに育つ。茁壮成长。 | 誰しも子供のすこやかな成長を願う。任何人都希望孩子健康成长。,"N1,vocab"
Default,漸次,渐渐。逐渐。,ぜんじ,,事件の全貌がぜんじ明らかとなった。事件的全貌逐渐地清晰了。,"N1,vocab"
Default,鑑みる,鉴于。,かんがみる,,時局に鑑み，音曲を禁止する。鉴于时局，禁止音乐。,"N1,vocab"
Default,降りる,下。辞去，退去。,おりる,,車からおりる。下车。 | 山をおりる。下山。 | 許可がおりる。许可批下来。 | 霜がおりる。下霜。 | 幕がおりる。落下帷幕。 | 主役をおりる。退出主角。 | 胸のつかえがおりる。心头的闷气消了下去。 | ようやく肩の荷がおりる。终于卸下肩上的担子。 | 今月限りで社長をおりる。在本月内辞去总经理职务。,"N1,vocab"
Default,交える,交。加入。掺杂。,まじえる,,ひざを交えて話す。促膝谈心。 | 彼も交えて相談する。他也在内一起商量。 | 私情をまじえることは慎むべきだ。不要掺杂个人感情。 | やたらに外来語を交えた演説。搀杂了过多外来语的演说。,"N1,vocab"
Default,交わす,交。交换。,かわす,,挨拶をかわす。互相打招呼。 | 杯をかわす。交杯换盏。 | 契約をかわす。缔结契约。,"N1,vocab"
Default,交わる,①交际。交往。来往。,まじわる,,外国人と親しくまじわる。和外国人亲密交往。 ②交叉。 | 2本の直線が直角にまじわる。两条直线交叉成直角。 | 朱に交われば赤くなる。近朱者赤，近墨者黑。,"N1,vocab"
Default,交代,交替。交接。,こうたい,,こうたい制で勤務する。换班。倒班。 | こうたいで。轮流。轮换。 | こうたいで休む。轮休。轮流休息。 | 三こうたい制で勤務する。三班倒。 | ピッチャーこうたい！替换投手！ | ひまな時期にこうたいで休んでおきなさい。请在空闲的时候轮流休息。 | ちょっと運転をこうたいしてくれ。替我开一会儿吧。 | 時間こうたいで働く。每隔两个小时换班工作。 | こうたいの看護師が現れない。换班的护士没来。,"N1,vocab"
Default,絞まる,勒緊，紧紧缠住。,しまる,,,"N1,vocab"
Default,絞める,勒。绞。,しめる,,首をしめる。掐脖子。勒脖子。 | 鶏をしめる。勒死家鸡。宰鸡。 | 遺体には首を絞められた跡があった。遗体的颈部留有被勒的痕迹。,"N1,vocab"
Default,絞る,①榨，拧，挤，绞。,しぼる,,雑巾をしぼる。拧抹布。 | ワイシャツを絞らずに乾かす。衬衫不拧水而晾干。 | 油を絞る。榨油。 | 牛乳を絞る。挤牛奶。 | よく絞ってから干す。拧净后再晒。 | 絞って水気をとる。拧干。 | 涙で袖を絞る。泪下沾襟。 | 腹が絞られるように痛む。肚子里绞着痛。 | 袋の口を絞る。勒紧袋口。 ②引人流泪；拼命发出高声；搜索枯肠；绞脑汁。 | 声を絞って救いを求める。拼命呼救。 | 頭を絞る。绞尽脑汁；煞费苦心。 | 知恵を絞る。想方设法；开动脑筋。 ③缩小。集中。 | 音量を絞る。降低音量；弄小音量。 | 人数を絞る。减少（精简）人数。 | ボリュームをしぼる。降低音量。 | レンズを絞る。缩小光圈。 | 問題をそこに絞って話す。把问题集中到那一点上来谈。 | 問題の範囲を絞る。划出问题的范围。 | レンズを16に絞ってシャッターを切る。把镜头的光圈缩小到十六按下快门。 | 的をしぼる。对准目标。 | 捜査の範囲をしぼる。缩小搜查范围。 | 候補者を5人から2人にしぼる。候选人由五人缩减到两人。 ④严加责备，申斥。 | 下級生を絞る。训低年级学生。 | 上司に油を絞られた。被上司狠狠地申斥了一顿。 | 長いことあいつを絞った。整了他老半天。,"N1,vocab"
Default,教わる,学。请教。,おそわる,,料理人にレシピをおそわる。向厨师请教菜谱。 | 最初におそわるのは挨拶の仕方です。首先学的是怎么打招呼。,"N1,vocab"
Default,掲揚,挂起、悬挂。,けいよう,,国旗を掲揚する。悬挂国旗。,"N1,vocab"
Default,結う,结。系。扎。,ゆう,,髪をゆう。束发。 | 彼女は日本髪に結っていた。她挽着一个日式发髻。 | 髪をポニーテールにゆう。把头发扎成一个马尾辫。,"N1,vocab"
Default,結び目,结子。扣子。,むすびめ,,むすびめを作る。打结。 | むすびめをほどく。解扣子。,"N1,vocab"
Default,結わえる,扎。结。捆。,ゆわえる,,刈った稲をゆわえる。把收割下来稻子扎起来。 | 新聞をひもでゆわえる。用绳子捆报纸。 70,"N1,vocab"
Default,結託,串通一气。勾结。勾通。,けったく,,業者とけったくして私腹を肥やす。勾结商家中饱私囊。,"N1,vocab"
Default,節穴,节孔。瞎眼。,ふしあな,,私の目はふしあなじゃないよ。我的眼睛可不瞎。,"N1,vocab"
Default,詰まる,①堵塞。淤塞。,つまる,,下水がつまる。下水道堵住。 | 息がつまる。喘不过气来。 | 道路は自動車で詰まっていた。路上塞满了车。 | 鼻がつまる。鼻子塞住了。 | 彼女はすすり泣き，声を詰まらせた。她抽泣，声音都哽咽了。 | 喉が詰まって話せない。喉咙哽咽说不出话来。 | 血管がつまる。血管堵塞。 ②穷困。窘急。 | 言葉につまる。不知该怎么说。 | 返答につまる。不知该如何回答。 | 金に詰まって犯行に及んだ。被金钱所迫导致犯罪。 ③缩短。 | 差がつまる。差别缩小。 | 先頭との距離が詰まった。与先头的人的距离缩短了。 ④塞满。 | ぎっしり詰まった日程。排得满满的日程。 | 本のいっぱい詰まった本棚。塞满书的书架。,"N1,vocab"
Default,詰む,①稠密，密实。,つむ,,目の詰んだ布。 密实的布料。 ②象棋中的将死。 | あと一手で詰んでしまう。 还有一步就要被将死了。难以前进，遇到阻碍。,"N1,vocab"
Default,詰める,①填。塞。装。塞满；填满。,つめる,,パイプに煙草をつめる。往烟斗里装烟丝。 | スーツケースに衣服をつめる。把衣服装到行李箱里。 | 歯に銀をつめる。用银补牙。 | 耳に綿をつめる。用棉花塞耳朵。 | クッションに羽根をつめる。往软垫里塞羽毛。 | 醤油を瓶につめる。把酱油倒进瓶子里。 | 自分で弁当を詰めて登校する。自己装盒饭去上学。 ②挤。 | 少々席をお詰め下さい。请略微挤一下坐。 | むりに詰めてその車に乗った。硬挤进那部车里。 ③缩小；缩短。 | 距離を詰める。缩短距离。 | 寸法を詰める。缩短尺寸。 | スカートの丈をつめる。把裙子改短。 | 行間を詰めて書く。缩小行距写。 ④（热心地）继续做；持续做。 | 根を詰める。追根究底。 | 詰めて働いたから疲れが出たんだ。工作太紧张，所以身体感到疲劳。 | 終日事務所に詰めている。整天在事务所。 | ずっと病人の枕元に詰めていた。一直守在病人旁边。 ⑤节约；简省。 | 暮らしを詰める。节约度日。 | 生計を詰める。勤俭度日。 ⑤深究；打破砂锅问到底。 | 考えを詰める。深入思考。 | 話を詰める。把谈话深入下去。 ⑤屏住。 | 生還者の体験談を息を詰めて聞き入った。屏息静听生还者讲述经历。,"N1,vocab"
Default,詰問,责问。质问。,きつもん,,彼は先生から厳しいきつもんを受けた。他受到老师严厉的责问。 | 下らぬことできつもんされて，私は腹が立った。为了一些无聊的事情受到责问，我很生气。,"N1,vocab"
Default,潔い,①干脆。爽快。,いさぎよい,,彼の態度はいさぎよい。他的态度爽快。 | 潔くあやまる。痛痛快快地道歉。 | 潔く戦死する。勇敢战死。 | 潔く誤りを認める。爽爽快快地承认错误。 | 潔くあきらめる。干脆打消念头。 ②清高，清白，纯洁。 | 潔い心。纯洁的心。,"N1,vocab"
Default,解く,①打开。解开。,とく,,縄をとく。解开绳索。 | 結び目をとく。解扣。 | 靴の紐をとく。解鞋带儿。 ②解答。 | 数学の問題をとく。解答数学题。 | 時代をとくキーワード。解答当代问题的关键词。 ③解除。消除。 | 誤解をとく。消除误会。 | 緊張をとく。消除紧张感。 | 職をとく。解除职务。 | 禁をとく。解禁。 | 僕に対する時だけは警戒心を解いた。只有对我，他才会放松戒心。 72,"N1,vocab"
Default,解ける,①解开。松。,とける,,ひもが解けた。带儿松了。 | 解けない靴紐の結び方を教えましょう。我教你怎么系鞋带才不会松掉吧。 ②解开。解。 | 誤解がとける。误会消除。 | あれは未だに解けない謎だ。那至今还是一个不解之谜。 | この問題はどうしても解けない。这个问题怎么也解不出来。 ③消除。 | 禁令がとける。禁令解除。 | 彼はまだ彼女に対する怒りが解けていない。他对她的气儿还没消。,"N1,vocab"
Default,戒める,规劝。训诫。,いましめる,,彼らの緊張感のない生活ぶりを戒めた。对他们那种没有紧张感的生活方式进行规劝。 | 自らをいましめる。给自己敲警钟。,"N1,vocab"
Default,今更,事到如今。,いまさら,,いまさら悔いても手遅れだ。事到如今，后悔也来不及了。 | いまさらながら腹が立つ。现在还觉得生气。 | いまさら変更もできない。事到如今，也没法儿改变了。,"N1,vocab"
Default,金物,五金。,かなもの,,かなもの屋。五金商店。,"N1,vocab"
Default,筋書,①情节。梗概。 ②计划。设计。,すじがき,,サッカーはすじがきのないドラマだ。足球赛好比一场没有剧本的戏。 | すべてがすじがき通りに行われた。一切都按照原定计划进行了。 | すべてにあらかじめすじがきがあるように思えた。好像一切都是事先设计好的。 ③节目表。,"N1,vocab"
Default,襟度,度量。,きんど,,,"N1,vocab"
Default,僅か,①仅仅。一点点。,わずか,,わずかな金。かね。一点儿钱。 | わずかなこと。小小的事。 | わずかな時間。片刻。 | わずかの差。微小的差。 | わずか1ヶ月で。仅仅一个月就。 | 夏休みもあと残りわずかとなった。暑假剩下不几天了。 | わずか2，3年のうちに売り上げが倍増した。仅在两三年内营业额就增加了一倍。 | 彼の家まではほんのわずかです。到他家只有一点点距离。 | わずかな収入で暮らしている。仅靠微薄的收入生活。 | わずかな予算でもあれば心強い思いがする。只要有一点点的预算的话就会觉得心理踏 实些。 | 英語の本はわずか2，3冊しかない。英文书仅有两三册。 | 給料日前の財布にはわずかな金額しか入っていない。发薪日之前钱包里只有一点点钱了。 | その本はわずか二千部売れただけである。那本书仅仅卖出了两千册。 | 彼の技量がわずかに優れている。他的身手略微好一点。 | わずかに京都訛りのある言葉で話した。说话略带一点京都口音。 | わずかに遅れて第2位だった。稍微落后了一点成为第二名。 ②细微。略微。 | わずかな光。微微的光明。 | わずかな振動でも反応する。即使微微的震动也会有反应。,"N1,vocab"
Default,尽きる,尽。完。结束。到头，穷尽。,つきる,,力がつきる。筋疲力尽。 | 命つきるまで闘い続ける。一息尚存，战斗不止。 | 未知への興味はつきることがない。对未知世界的兴味无穷。 | 飲料水が尽きた。饮用水没有了。 | 方法が尽きた。办法都用尽了。 | 根。こんが尽きた。精疲力竭。 | 人生に悲劇は尽きない。人生悲剧没有穷尽。 | その風景はただ壮大と言うにつきる。那个风景只能说是雄伟壮观。,"N1,vocab"
Default,尽くす,①尽。,つくす,,全力をつくす。竭尽全力。 | 己。おのれの本分をつくす。尽自己的本分。 ②光。尽。 | 言い尽くせない。说不尽。 | 焼きつくす。烧光。 | 何もかも知り尽くしている。什么事情都了如指掌。 | 画面を極彩色で埋めつくす。用鲜艳的色彩填满了画面。 | 名物料理を食べつくす。吃遍名菜。 | 金を使いつくす。把钱用光。 | その問題は論じ尽くされた。那个问题已经被彻底讨论过了。 ③尽力。效力。 | 社会につくす。为社会效力。 | 彼は妻のために尽くした。他为了妻子已经竭尽全力了。,"N1,vocab"
Default,近づく,靠近。接近。,ちかづく,,夏がちかづく。快要夏天了。 | 駅にちかづく。靠近车站。 | 終わりにちかづく。接近末尾。 | 彼には近づかないほうがいい。不要跟他来往。 | 夏がちかづくと海が恋しくなる。快到夏天的时候，我就怀念大海。 | スキーシーズンも終わりに近づいた。滑雪旺季快要结束了。 | 工事は完成に近づいている。工程快要完成了。 | 駅にちかづくにつれ人通りが多くなった。走近车站，街上的人多了起来。 | 大画家なのに近づきやすい人だった。虽然是个大画家，倒很平易近人。 | ああいう男は近づかないに限る。那种男人，最好不要接近。,"N1,vocab"
Default,浸す,泡。浸泡。,ひたす,,大豆を6時間水にひたす。把大豆泡在水里六个小时。 | 牛乳にパンをひたす。把面包泡在牛奶里。,"N1,vocab"
